"","País","Part.","Títs.","Subts.","PJ","PG","PE","PP","GF","GC","DG","Pts."
"River Plate","Argentina",39,4,3,382,187,102,93,634,396,238,593
"Nacional","Uruguay",50,3,3,407,172,109,126,566,445,121,532
"Boca Juniors","Argentina",32,6,5,320,165,82,73,478,277,201,522
"Peñarol","Uruguay",48,5,5,374,166,79,129,560,451,109,466
"Cerro Porteño","Paraguay",44,0,0,329,122,92,115,415,427,-12,410
"Olimpia","Paraguay",45,3,4,333,131,94,108,471,419,52,409
"Palmeiras","Brasil",23,3,3,222,125,42,55,429,226,203,383
"Grêmio","Brasil",21,3,2,207,108,43,56,318,189,129,354
"São Paulo","Brasil",21,3,3,199,96,48,55,307,192,115,305
"Bolívar","Bolivia",37,0,0,245,96,54,95,360,375,-15,297
"Colo-Colo","Chile",36,1,1,247,97,55,95,345,347,-2,291
"Cruzeiro","Brasil",17,2,2,166,95,32,39,307,158,149,285
"Universidad Católica","Chile",29,0,1,236,88,59,89,348,343,5,279
"Flamengo","Brasil",19,3,1,161,92,33,36,316,179,137,278
"América de Cali","Colombia",21,0,4,208,91,59,58,299,229,70,278
"Santos","Brasil",16,3,2,153,83,32,38,287,173,114,266
"Barcelona","Ecuador",29,0,2,235,84,60,91,279,287,-8,265
"Vélez Sarsfield","Argentina",17,1,0,151,76,36,39,217,146,71,254
"Atlético Nacional","Colombia",24,2,1,187,78,46,63,252,207,45,248
"Libertad","Paraguay",22,0,0,170,66,43,61,215,210,5,235
"Sporting Cristal","Perú",38,0,1,239,68,62,109,295,376,-81,234
"Estudiantes (LP)","Argentina",16,4,1,143,78,26,39,190,122,68,230
"Corinthians","Brasil",17,1,0,132,66,32,34,216,127,89,227
"Universitario","Perú",33,0,1,228,72,69,87,265,312,-47,227
"Internacional","Brasil",15,2,1,140,67,39,34,202,124,78,220
"Emelec","Ecuador",29,0,0,221,68,44,109,238,314,-76,220
"Liga de Quito","Ecuador",20,1,0,161,62,36,63,238,228,10,204
"Independiente","Argentina",20,7,0,155,73,39,43,211,143,68,196
"Atlético Mineiro","Brasil",13,1,0,117,53,37,27,178,116,62,189
"Universidad de Chile","Chile",25,0,0,163,57,37,69,201,239,-38,188
"The Strongest","Bolivia",29,0,0,177,59,34,84,216,300,-84,188
"Deportivo Cali","Colombia",21,0,2,160,63,34,63,224,210,14,183
"San Lorenzo","Argentina",17,1,0,138,50,39,49,167,138,29,172
"Guaraní","Paraguay",20,0,0,146,49,38,59,186,203,-17,163
"El Nacional","Ecuador",25,0,0,150,55,29,66,189,214,-25,163
"Racing Club","Argentina",12,1,0,102,49,29,24,162,105,57,156
"Junior","Colombia",17,0,0,124,45,28,51,138,158,-20,154
"América","México",7,0,0,88,45,16,27,149,98,51,151
"Santa Fe","Colombia",13,0,0,104,39,28,37,138,126,12,136
"Rosario Central","Argentina",12,0,0,92,43,22,27,155,119,36,129
"Deportivo Táchira<U+200B>","Venezuela",25,0,0,145,33,37,75,137,262,-125,127
"Cobreloa","Chile",13,0,2,105,39,32,34,134,122,12,123
"Defensor Sporting","Uruguay",16,0,0,111,32,33,46,110,129,-19,123
"Alianza Lima","Perú",29,0,0,174,37,32,105,161,308,-147,122
"Millonarios","Colombia",19,0,0,110,39,26,45,144,138,6,117
"Jorge Wilstermann","Bolivia",20,0,0,127,38,24,65,146,247,-101,117
"Athletico Paranaense","Brasil",9,0,2,77,35,14,28,106,99,7,116
"Caracas","Venezuela",21,0,0,117,30,26,61,128,205,-77,115
"Fluminense","Brasil",9,0,1,68,34,16,18,100,69,31,114
