"","eciv","lenm","facexp"
"1","Casado/a","Castellano",258.651824951172
"2","Casado/a","Quechua",258.651824951172
"3","Casado/a","Quechua",258.651824951172
"4","Casado/a","Quechua",258.651824951172
"5","Soltero/a","Castellano",258.651824951172
"8","Concubino/a","Quechua",258.651824951172
"9","Concubino/a","Quechua",258.651824951172
"12","Casado/a","Quechua",258.651824951172
"13","Casado/a","Quechua",258.651824951172
"14","Soltero/a","Castellano",258.651824951172
"15","Concubino/a","Quechua",258.651824951172
"16","Concubino/a","Quechua",258.651824951172
"19","Casado/a","Quechua",258.651824951172
"20","Casado/a","Castellano",258.651824951172
"21","Soltero/a","Castellano",258.651824951172
"22","Soltero/a","Castellano",258.651824951172
"23","Concubino/a","Castellano",258.651824951172
"24","Concubino/a","Castellano",258.651824951172
"27","Casado/a","Castellano",258.651824951172
"28","Casado/a","Castellano",258.651824951172
"31","Concubino/a","Castellano",258.651824951172
"32","Concubino/a","Quechua",258.651824951172
"33","Soltero/a","Castellano",258.651824951172
"40","Concubino/a","Castellano",258.651824951172
"41","Concubino/a","Castellano",258.651824951172
"44","Concubino/a","Quechua",258.651824951172
"45","Concubino/a","Quechua",258.651824951172
"47","Soltero/a","Castellano",258.651824951172
"49","Casado/a","Quechua",258.651824951172
"50","Casado/a","Quechua",258.651824951172
"51","Soltero/a","Castellano",258.651824951172
"52","Soltero/a","Castellano",258.651824951172
"54","Separado/a","Quechua",258.651824951172
"55","Soltero/a","Castellano",258.651824951172
"56","Soltero/a","Castellano",258.651824951172
"57","Casado/a","Castellano",258.651824951172
"58","Soltero/a","Castellano",258.651824951172
"59","Soltero/a","Castellano",258.651824951172
"61","Divorciado/a","Quechua",258.651824951172
"62","Soltero/a","Castellano",258.651824951172
"64","Viudo/a","Quechua",258.651824951172
"65","Casado/a","Quechua",258.651824951172
"66","Casado/a","Castellano",258.651824951172
"71","Soltero/a","Castellano",258.651824951172
"72","Casado/a","Castellano",258.651824951172
"73","Casado/a","Castellano",258.651824951172
"74","Soltero/a","Castellano",258.651824951172
"75","Soltero/a","Castellano",258.651824951172
"76","Soltero/a","Castellano",258.651824951172
"77","Casado/a","Quechua",258.651824951172
"78","Soltero/a","Castellano",258.651824951172
"79","Soltero/a","Castellano",258.651824951172
"81","Casado/a","Castellano",258.651824951172
"82","Casado/a","Castellano",258.651824951172
"85","Casado/a","Quechua",258.651824951172
"86","Casado/a","Quechua",258.651824951172
"87","Casado/a","Quechua",258.651824951172
"88","Casado/a","Quechua",258.651824951172
"91","Casado/a","Quechua",282.165618896484
"92","Casado/a","Quechua",282.165618896484
"95","Casado/a","Quechua",282.165618896484
"96","Casado/a","Quechua",282.165618896484
"97","Soltero/a","Quechua",282.165618896484
"98","Soltero/a","Castellano",282.165618896484
"100","Soltero/a","Quechua",282.165618896484
"103","Soltero/a","Castellano",282.165618896484
"106","Concubino/a","Castellano",282.165618896484
"107","Concubino/a","Castellano",282.165618896484
"108","Soltero/a","Castellano",282.165618896484
"109","Soltero/a","Castellano",282.165618896484
"112","Separado/a","Castellano",282.165618896484
"113","Soltero/a","Castellano",282.165618896484
"114","Soltero/a","Castellano",282.165618896484
"115","Divorciado/a","Quechua",282.165618896484
"116","Soltero/a","Castellano",282.165618896484
"118","Casado/a","Castellano",282.165618896484
"119","Casado/a","Quechua",282.165618896484
"120","Soltero/a","Castellano",282.165618896484
"124","Soltero/a","Castellano",282.165618896484
"125","Casado/a","Quechua",282.165618896484
"126","Casado/a","Quechua",282.165618896484
"127","Casado/a","Quechua",282.165618896484
"128","Casado/a","Quechua",282.165618896484
"129","Soltero/a","Castellano",282.165618896484
"130","Soltero/a","Castellano",282.165618896484
"135","Casado/a","Castellano",282.165618896484
"136","Casado/a","Castellano",282.165618896484
"137","Soltero/a","Castellano",282.165618896484
"138","Soltero/a","Castellano",282.165618896484
"139","Casado/a","Castellano",205.330642700195
"140","Casado/a","Castellano",205.330642700195
"141","Soltero/a","Castellano",205.330642700195
"142","Soltero/a","Castellano",205.330642700195
"144","Casado/a","Quechua",205.330642700195
"145","Casado/a","Quechua",205.330642700195
"146","Soltero/a","Castellano",205.330642700195
"148","Casado/a","Quechua",205.330642700195
"149","Casado/a","Quechua",205.330642700195
"150","Soltero/a","Castellano",205.330642700195
"151","Soltero/a","Castellano",205.330642700195
"152","Concubino/a","Castellano",205.330642700195
"153","Concubino/a","Castellano",205.330642700195
"154","Soltero/a","Castellano",205.330642700195
"157","Separado/a","Quechua",205.330642700195
"158","Soltero/a","Castellano",205.330642700195
"161","Divorciado/a","Quechua",205.330642700195
"162","Soltero/a","Quechua",205.330642700195
"163","Soltero/a","Quechua",205.330642700195
"164","Soltero/a","Quechua",205.330642700195
"166","Soltero/a","Quechua",205.330642700195
"167","Viudo/a","Quechua",205.330642700195
"168","Concubino/a","Quechua",205.330642700195
"169","Concubino/a","Castellano",205.330642700195
"172","Casado/a","Quechua",205.330642700195
"173","Casado/a","Castellano",205.330642700195
"174","Soltero/a","Castellano",205.330642700195
"175","Soltero/a","Castellano",205.330642700195
"179","Casado/a","Quechua",205.330642700195
"180","Casado/a","Quechua",205.330642700195
"181","Soltero/a","Castellano",205.330642700195
"182","Soltero/a","Castellano",205.330642700195
"186","Casado/a","Quechua",205.330642700195
"187","Casado/a","Quechua",205.330642700195
"188","Casado/a","Quechua",205.330642700195
"189","Casado/a","Quechua",205.330642700195
"190","Soltero/a","Castellano",205.330642700195
"191","Soltero/a","Castellano",205.330642700195
"192","Soltero/a","Castellano",205.330642700195
"194","Casado/a","Quechua",205.330642700195
"195","Casado/a","Quechua",205.330642700195
"196","Soltero/a","Castellano",205.330642700195
"197","Soltero/a","Castellano",205.330642700195
"199","Concubino/a","Castellano",205.330642700195
"200","Concubino/a","Castellano",205.330642700195
"201","Casado/a","Quechua",205.330642700195
"202","Casado/a","Quechua",205.330642700195
"203","Viudo/a","Quechua",205.330642700195
"204","Soltero/a","Castellano",205.330642700195
"205","Casado/a","Castellano",205.330642700195
"206","Casado/a","Castellano",205.330642700195
"207","Soltero/a","Castellano",205.330642700195
"208","Soltero/a","Castellano",205.330642700195
"210","Casado/a","Castellano",205.330642700195
"213","Concubino/a","Quechua",205.330642700195
"214","Concubino/a","Quechua",205.330642700195
"217","Casado/a","Quechua",205.330642700195
"218","Casado/a","Quechua",205.330642700195
"219","Soltero/a","Castellano",205.330642700195
"220","Soltero/a","Quechua",205.330642700195
"221","Soltero/a","Castellano",205.330642700195
"222","Concubino/a","Castellano",205.330642700195
"223","Concubino/a","Castellano",205.330642700195
"225","Casado/a","Castellano",205.330642700195
"226","Casado/a","Castellano",205.330642700195
"227","Casado/a","Quechua",205.330642700195
"228","Casado/a","Castellano",205.330642700195
"229","Soltero/a","Castellano",205.330642700195
"230","Soltero/a","Castellano",205.330642700195
"231","Soltero/a","Castellano",205.330642700195
"234","Casado/a","Quechua",223.997055053711
"235","Casado/a","Quechua",223.997055053711
"236","Soltero/a","Castellano",223.997055053711
"237","Soltero/a","Castellano",223.997055053711
"238","Soltero/a","Castellano",223.997055053711
"239","Casado/a","Quechua",223.997055053711
"240","Casado/a","Quechua",223.997055053711
"241","Soltero/a","Quechua",223.997055053711
"242","Soltero/a","Quechua",223.997055053711
"243","Soltero/a","Quechua",223.997055053711
